ep,state,action,reward
0,"[-0.00737793  0.12416028  0.0927047  -0.14456107  1.52070742 -0.1240286 ]",-25.0,1.217797560305458
0,"[-0.03399269  0.11693223 -1.1572953  -0.14456107  1.48267296 -1.39883571]",25.0,0.7320836754217882
0,"[-0.06060746  0.10970417  0.0927047  -0.14456107  1.44262412 -0.20829858]",-25.0,1.1557259310383645
0,"[-0.08722222  0.10247612 -1.1572953  -0.14456107  1.39965836 -1.51138044]",-25.0,0.6797195357290917
0,"[-0.17633699  0.09524807 -2.4072953  -0.14456107  1.29126783 -2.82673319]",-25.0,0.47800068558312486
0,"[-0.32795175  0.08802001 -3.6572953  -0.14456107  1.11682315 -4.15022959]",-25.0,0.3120688783753454
1,"[ 0.02634803 -0.16276231  0.05055642  0.10739622  1.70419306 -0.25019724]",-25.0,1.1730972991689506
1,"[-0.00237415 -0.1573925  -1.19944358  0.10739622  1.66227656 -1.42985475]",25.0,0.7461321426994
1,"[-0.03109633 -0.15202269  0.05055642  0.10739622  1.62296712 -0.146226  ]",25.0,1.195138465067135
1,"[ 0.00268149 -0.14665288  1.30055642  0.10739622  1.64749766  1.12804969]",-25.0,0.7932804239662054
1,"[ 0.03645932 -0.14128307  0.05055642  0.10739622  1.67379658 -0.07243222]",-25.0,1.2013943840306465
1,"[ 0.00773714 -0.13591326 -1.19944358  0.10739622  1.64031633 -1.26909676]",25.0,0.7684987886120479
1,"[-0.02098504 -0.13054345  0.05055642  0.10739622  1.60882764  0.00625195]",25.0,1.2307437337471328
1,"[ 0.01279278 -0.12517364  1.30055642  0.10739622  1.64083859  1.27537394]",-25.0,0.7643949072722251
1,"[ 0.0465706  -0.11980383  0.05055642  0.10739622  1.67442279  0.07236767]",25.0,1.193561418595179
1,"[ 0.08034842 -0.11443401  1.30055642  0.10739622  1.71038645  1.36710412]",-25.0,0.7059912739926161
1,"[ 0.11412624 -0.1090642   0.05055642  0.10739622  1.74968179  0.2101818 ]",25.0,1.1114891215286609
1,"[ 0.14790406 -0.10369439  1.30055642  0.10739622  1.79309877  1.52707296]",-25.0,0.6400703874537538
1,"[ 0.18168188 -0.09832458  0.05055642  0.10739622  1.84193134  0.43354797]",-25.0,0.768857562205388
1,"[ 0.15295971 -0.09295477 -1.19944358  0.10739622  1.83683093 -0.63732792]",25.0,0.7569542714967881
1,"[ 0.12423753 -0.08758496  0.05055642  0.10739622  1.83834346  0.69675146]",25.0,0.7661664269479586
1,"[ 0.15801535 -0.08221515  1.30055642  0.10739622  1.90647149  2.02836065]",-25.0,0.5646542932704421
1,"[ 0.19179317 -0.07684534  0.05055642  0.10739622  1.98287373  1.04026026]",-25.0,0.6597916118898163
1,"[ 0.16307099 -0.07147553 -1.19944358  0.10739622  2.01139391  0.10596194]",25.0,0.8107854266925827
1,"[ 0.13434881 -0.06610572  0.05055642  0.10739622  2.05009971  1.44041471]",25.0,0.6313748790366452
2,"[-0.02472723  0.06797429  0.08722016 -0.01699437  1.62395858 -0.11229956]",-25.0,1.2064312314242063
2,"[-0.05161622  0.06712457 -1.16277984 -0.01699437  1.58775916 -1.33786849]",-25.0,0.7336679248849589
2,"[-0.14100521  0.06627485 -2.41277984 -0.01699437  1.48971443 -2.59023153]",25.0,0.5282751791195331
2,"[-0.2303942   0.06542513 -1.16277984 -0.01699437  1.39003587 -1.4087371 ]",25.0,0.6138442914519867
2,"[-0.25728319  0.06457541  0.08722016 -0.01699437  1.34792574 -0.28178211]",-25.0,0.9973771826471804
2,"[-0.28417219  0.06372569 -1.16277984 -0.01699437  1.30069132 -1.60783127]",-25.0,0.5563243341606393
2,"[-0.37356118  0.06287598 -2.41277984 -0.01699437  1.18708157 -2.93664505]",25.0,0.3868752600870593
2,"[-0.46295017  0.06202626 -1.16277984 -0.01699437  1.0638933  -2.01191353]",-25.0,0.41939354150002717
3,"[-0.11541403 -0.02032432  0.11519764 -0.0392487   1.61297548  0.17572976]",-25.0,1.1270818628234216
3,"[-0.14090415 -0.02228676 -1.13480236 -0.0392487   1.59105693 -1.05336882]",25.0,0.7210524993172432
3,"[-0.16639427 -0.02424919  0.11519764 -0.0392487   1.56981274  0.20084409]",25.0,1.0872720977177253
3,"[-0.12938439 -0.02621163  1.36519764 -0.0392487   1.61111851  1.45354209]",-25.0,0.6714462950479188
3,"[-0.0923745  -0.02817406  0.11519764 -0.0392487   1.65320135  0.23478766]",-25.0,1.131186647098144
3,"[-0.11786462 -0.0301365  -1.13480236 -0.0392487   1.63481103 -0.97116037]",-25.0,0.7455400985007496
3,"[-0.20585474 -0.03209893 -2.38480236 -0.0392487   1.55573218 -2.19783456]",-25.0,0.5427643196805922
3,"[-0.35634486 -0.03406137 -3.63480236 -0.0392487   1.41428546 -3.46796782]",25.0,0.3649259699998869
3,"[-0.50683497 -0.0360238  -2.38480236 -0.0392487   1.26927085 -2.35202893]",25.0,0.39051969396784203
3,"[-0.59482509 -0.03798624 -1.13480236 -0.0392487   1.1773649  -1.33872221]",-25.0,0.4343568626059308
3,"[-0.68281521 -0.03994867 -2.38480236 -0.0392487   1.07712684 -2.66813325]",-25.0,0.30104734052666576
4,"[-0.22740422  0.19095416 -0.02414841  0.09952581  1.59244508  0.05858065]",25.0,1.0670396900773436
4,"[-0.19736164  0.19593045  1.22585159  0.09952581  1.62689302  1.32081227]",-25.0,0.6502265007119084
4,"[-0.16731906  0.20090674 -0.02414841  0.09952581  1.66254951  0.10994071]",-25.0,1.0977157154338903
4,"[-0.19977648  0.20588303 -1.27414841  0.09952581  1.63804073 -1.09167973]",-25.0,0.6788000219362599
4,"[-0.29473391  0.21085932 -2.52414841  0.09952581  1.55296834 -2.31758259]",25.0,0.4903954034957402
4,"[-0.38969133  0.21583561 -1.27414841  0.09952581  1.46789927 -1.09424878]",-25.0,0.5723605432106152
4,"[-0.48464875  0.2208119  -2.52414841  0.09952581  1.38083526 -2.39162242]",25.0,0.4014510106899313
4,"[-0.57960617  0.2257882  -1.27414841  0.09952581  1.28922293 -1.28559941]",25.0,0.45336919248419044
4,"[-0.61206359  0.23076449 -0.02414841  0.09952581  1.25131842 -0.23680416]",25.0,0.5394971286277678
4,"[-0.58202101  0.23574078  1.22585159  0.09952581  1.26528972  0.79675141]",25.0,0.4970284212196343
4,"[-0.48947843  0.24071707  2.47585159  0.09952581  1.33146381  1.8582462 ]",-25.0,0.4418947160611694
4,"[-0.39693585  0.24569336  1.22585159  0.09952581  1.39106446  0.52907726]",-25.0,0.6317203011596111
4,"[-0.36689327  0.25066965 -0.02414841  0.09952581  1.38459083 -0.78719529]",-25.0,0.6158835894009234
4,"[-0.39935069  0.25564594 -1.27414841  0.09952581  1.3122971  -2.10589582]",25.0,0.45522835118951555
4,"[-0.43180811  0.26062223 -0.02414841  0.09952581  1.2336728  -1.05097727]",-25.0,0.539441779583021
4,"[-0.46426553  0.26559852 -1.27414841  0.09952581  1.14774957 -2.38472231]",-25.0,0.39519533336937224
5,"[ 0.12759276  0.01276527 -0.03097007  0.00457901  1.59500596  0.20990878]",-25.0,1.1130247934320352
5,"[ 0.09479426  0.01299422 -1.28097007  0.00457901  1.5745617  -1.02836656]",25.0,0.7535250509059395
5,"[ 0.06199576  0.01322317 -0.03097007  0.00457901  1.55436732  0.21785623]",-25.0,1.1601267364346208
5,"[ 0.02919725  0.01345212 -1.28097007  0.00457901  1.53381975 -1.04026551]",25.0,0.7922889149609058
5,"[-0.00360125  0.01368107 -0.03097007  0.00457901  1.51249323  0.1842086 ]",-25.0,1.2086240639904053
5,"[-0.03639975  0.01391002 -1.28097007  0.00457901  1.48979964 -1.09240171]",25.0,0.7772709476699726
5,"[-0.06919826  0.01413897 -0.03097007  0.00457901  1.46522288  0.10582773]",-25.0,1.1699091218300761
5,"[-0.10199676  0.01436792 -1.28097007  0.00457901  1.43815541 -1.18896853]",25.0,0.7190891712161152
5,"[-0.13479526  0.01459687 -0.03097007  0.00457901  1.4079126  -0.0251207 ]",25.0,1.130199796418982
5,"[-0.10509377  0.01482582  1.21902993  0.00457901  1.43553396  1.13208359]",-25.0,0.7252551724222733
5,"[-0.07539227  0.01505477 -0.03097007  0.00457901  1.45954433 -0.16924098]",-25.0,1.1532389365211166
5,"[-0.10819077  0.01528372 -1.28097007  0.00457901  1.41866987 -1.46684585]",25.0,0.6753637214776341
5,"[-0.14098928  0.01551267 -0.03097007  0.00457901  1.37415484 -0.31994587]",25.0,1.0722619656584433
5,"[-0.11128778  0.01574163  1.21902993  0.00457901  1.38639085  0.8098881 ]",25.0,0.7654385167880913
5,"[-0.01908628  0.01597058  2.46902993  0.00457901  1.45552472  1.96224211]",25.0,0.6604518953778069
5,"[0.13561521 0.01619953 3.71902993 0.00457901 1.58353514 3.16898798]",25.0,0.4745197161642735
5,"[3.52816708e-01 1.64284776e-02 4.96902993e+00 4.57901493e-03
 1.77354702e+00 4.44160079e+00]",25.0,0.2996966352482612
5,"[6.32518205e-01 1.66574283e-02 6.21902993e+00 4.57901493e-03
 2.02839259e+00 5.75361196e+00]",25.0,0.17141108182964251
6,"[ 0.02669742  0.02770371  0.01170226  0.02131654  1.44772509 -0.1355402 ]",-25.0,1.195191706158985
6,"[-0.00396747  0.02876953 -1.23829774  0.02131654  1.40843835 -1.43685544]",-25.0,0.7390676392652591
6,"[-0.09713236  0.02983536 -2.48829774  0.02131654  1.30382338 -2.75035907]",25.0,0.5197663034872126
6,"[-0.19029725  0.03090119 -1.23829774  0.02131654  1.19264979 -1.71349847]",25.0,0.5808956605778703
6,"[-0.22096213  0.03196701  0.01170226  0.02131654  1.13109205 -0.75939874]",-25.0,0.6771449974995118
6,"[-0.25162702  0.03303284 -1.23829774  0.02131654  1.0598247  -2.08857489]",-25.0,0.4983862398740891
7,"[ 0.15416656 -0.14376805  0.10420997 -0.06411574  1.54048017 -0.03724486]",25.0,1.123318564307251
7,"[ 0.19062706 -0.14697383  1.35420997 -0.06411574  1.5694938   1.19921659]",-25.0,0.6716881226796872
7,"[ 0.22708756 -0.15017962  0.10420997 -0.06411574  1.59827677 -0.04440869]",-25.0,1.0693816332284323
7,"[ 0.20104806 -0.15338541 -1.14579003 -0.06411574  1.56513624 -1.28295557]",25.0,0.654609672514878
7,"[ 0.17500856 -0.15659119  0.10420997 -0.06411574  1.53206937 -0.04363044]",-25.0,1.1065348955752445
7,"[ 0.14896905 -0.15979698 -1.14579003 -0.06411574  1.49817989 -1.31325676]",25.0,0.67784821820334
7,"[ 0.12292955 -0.16300277  0.10420997 -0.06411574  1.46265818 -0.11220264]",-25.0,1.1284559172078716
7,"[ 0.09689005 -0.16620855 -1.14579003 -0.06411574  1.42466299 -1.40859726]",25.0,0.6901678517912244
7,"[ 0.07085055 -0.16941434  0.10420997 -0.06411574  1.38317407 -0.25673949]",25.0,1.1337822030010587
7,"[ 0.10731105 -0.17262013  1.35420997 -0.06411574  1.39874405  0.88040341]",25.0,0.7583059485948869
7,"[ 0.20627155 -0.17582591  2.60420997 -0.06411574  1.47162563  2.04184595]",25.0,0.5568088778434997
7,"[ 0.36773204 -0.1790317   3.85420997 -0.06411574  1.60385628  3.25808114]",-25.0,0.38053736601861293
7,"[ 0.52919254 -0.18223749  2.60420997 -0.06411574  1.73628462  2.05361481]",-25.0,0.4134948422158129
7,"[ 0.62815304 -0.18544327  1.35420997 -0.06411574  1.81047888  0.92420401]",-25.0,0.46866878884417873
7,"[ 0.66461354 -0.18864906  0.10420997 -0.06411574  1.82938522 -0.16453586]",25.0,0.5260222405084936
7,"[ 0.70107404 -0.19185485  1.35420997 -0.06411574  1.85448011  1.16779537]",-25.0,0.41452757981623567
7,"[ 0.73753454 -0.19506063  0.10420997 -0.06411574  1.88651196  0.11887348]",-25.0,0.4918082435055504
7,"[ 0.71149503 -0.19826642 -1.14579003 -0.06411574  1.86653641 -0.91981779]",-25.0,0.4306215136215402
7,"[ 0.62295553 -0.20147221 -2.39579003 -0.06411574  1.7939827  -1.99104957]",25.0,0.3812796617180714
7,"[ 0.53441603 -0.20467799 -1.14579003 -0.06411574  1.72765385 -0.66593214]",25.0,0.5436574310686378
7,"[ 0.50837653 -0.20788378  0.10420997 -0.06411574  1.72712566  0.64368094]",-25.0,0.5593396905254178
7,"[ 0.48233703 -0.21108957 -1.14579003 -0.06411574  1.73041885 -0.51059194]",25.0,0.5880821036028145
7,"[ 0.45629753 -0.21429535  0.10420997 -0.06411574  1.73767763  0.80018485]",-25.0,0.5678779120050972
