ep,state,action,reward
0,"[0.00486731 0.19846908 0.1461585  0.15395012 1.53636997 0.02583567]",25.0,1.239839262820749
0,"[0.04342523 0.20616658 1.3961585  0.15395012 1.56848951 1.26065528]",25.0,0.750361470874569
0,"[0.14448316 0.21386409 2.6461585  0.15395012 1.66284054 2.51915889]",-25.0,0.5338020615771157
0,"[0.24554108 0.22156159 1.3961585  0.15395012 1.75913062 1.34407348]",25.0,0.6131646781272895
0,"[0.34659901 0.2292591  2.6461585  0.15395012 1.85925737 2.66292328]",-25.0,0.42511891969492177
0,"[0.44765693 0.23695661 1.3961585  0.15395012 1.96649924 1.64344433]",25.0,0.46764199307076
0,"[0.54871486 0.24465411 2.6461585  0.15395012 2.08192023 2.97024102]",25.0,0.3197782356403025
1,"[-0.02490818 -0.15860174 -0.11501769 -0.05432208  1.64011532  0.08231109]",25.0,1.2110064435332537
1,"[ 5.90936487e-04 -1.61317847e-01  1.13498231e+00 -5.43220803e-02
  1.67625734e+00  1.36458110e+00]",-25.0,0.7561174504559985
1,"[ 0.02609005 -0.16403395 -0.11501769 -0.05432208  1.71486207  0.18475817]",-25.0,1.1844429911063175
1,"[-0.01091083 -0.16675006 -1.36501769 -0.05432208  1.69493055 -0.98319875]",-25.0,0.8079350719107526
1,"[-0.11041172 -0.16946616 -2.61501769 -0.05432208  1.61612079 -2.17600491]",25.0,0.5902496238030294
1,"[-0.2099126  -0.17218226 -1.36501769 -0.05432208  1.53895486 -0.91790865]",25.0,0.69818093276199
1,"[-0.24691348 -0.17489837 -0.11501769 -0.05432208  1.52382932  0.31048325]",-25.0,1.0128905211389105
1,"[-0.28391437 -0.17761447 -1.36501769 -0.05432208  1.5075756  -0.9607037 ]",-25.0,0.6478622158934639
1,"[-0.38341525 -0.18033058 -2.61501769 -0.05432208  1.42754421 -2.24426872]",-25.0,0.4555791965142127
1,"[-0.54541614 -0.18304668 -3.86501769 -0.05432208  1.28270232 -3.55341972]",-25.0,0.297004262531841
1,"[-0.76991702 -0.18576278 -5.11501769 -0.05432208  1.07200413 -4.87248819]",-25.0,0.17843410781955754
2,"[-0.09419057 -0.06245554  0.07307617 -0.09337763  1.67959133  0.04024834]",-25.0,1.16275087473268
