ep,state,action,reward
0,"[ 0.1580445  -0.07789801  0.17064939  0.15092373  1.65992403  0.01018717]",-25.0,1.1218214110316946
0,"[ 0.13532697 -0.07035182 -1.07935061  0.15092373  1.63037621 -1.19395087]",-25.0,0.7028871058791394
0,"[ 0.05010944 -0.06280563 -2.32935061  0.15092373  1.54007736 -2.42462816]",25.0,0.5907330670747464
0,"[-0.03510809 -0.05525945 -1.07935061  0.15092373  1.44946197 -1.20986173]",25.0,0.7573872268656906
0,"[-0.05782562 -0.04771326  0.17064939  0.15092373  1.41835873 -0.03868039]",25.0,1.1867981331795359
0,"[-0.01804315 -0.04016707  1.42064939  0.15092373  1.44547665  1.12539035]",-25.0,0.7806990287464265
0,"[ 0.02173932 -0.03262089  0.17064939  0.15092373  1.46923703 -0.17251308]",25.0,1.1938372375130903
0,"[ 0.06152178 -0.0250747   1.42064939  0.15092373  1.49046068  1.02257805]",-25.0,0.7722503237880615
0,"[ 0.10130425 -0.01752851  0.17064939  0.15092373  1.50949928 -0.25868095]",-25.0,1.1218375514279275
0,"[ 0.07858672 -0.00998233 -1.07935061  0.15092373  1.46461172 -1.53862375]",-25.0,0.6853500235393764
0,"[-6.63080672e-03 -2.43614064e-03 -2.32935061e+00  1.50923735e-01
  1.35530182e+00 -2.83786037e+00]",25.0,0.5537663358800663
0,"[-0.09184834  0.00511005 -1.07935061  0.15092373  1.24079019 -1.75902603]",25.0,0.6304771048100838
0,"[-0.11456587  0.01265623  0.17064939  0.15092373  1.17805099 -0.76086411]",25.0,0.7474224508780387
0,"[-0.0747834   0.02020242  1.42064939  0.15092373  1.16403761  0.19729385]",25.0,0.8625177085661703
0,"[0.02749907 0.02774861 2.67064939 0.15092373 1.19785693 1.15989728]",25.0,0.7438883743258857
0,"[0.19228154 0.03529479 3.92064939 0.15092373 1.28082289 2.16994569]",25.0,0.5368917432665692
0,"[0.41956401 0.04284098 5.17064939 0.15092373 1.41624852 3.26319895]",-25.0,0.35924204510507446
0,"[0.64684648 0.05038717 3.92064939 0.15092373 1.54670605 1.96440401]",25.0,0.38188430821866776
0,"[0.87412895 0.05793335 5.17064939 0.15092373 1.67603309 3.21710244]",-25.0,0.23928350565035328
0,"[1.10141142 0.06547954 3.92064939 0.15092373 1.80755077 2.05989091]",25.0,0.2416025592942277
0,"[1.32869389 0.07302573 5.17064939 0.15092373 1.94362959 3.38425929]",25.0,0.14944668713718914
1,"[-0.00530076 -0.04205     0.13761004  0.08048671  1.58436337 -0.11101641]",25.0,1.2236217458363936
1,"[ 0.03282974 -0.03802566  1.38761004  0.08048671  1.6102268   1.14646748]",25.0,0.7732585576418864
1,"[ 0.13346024 -0.03400133  2.63761004  0.08048671  1.6993169   2.42177146]",-25.0,0.5475802213587807
1,"[ 0.23409074 -0.02997699  1.38761004  0.08048671  1.7913311   1.27054965]",25.0,0.6259671519515021
1,"[ 0.33472125 -0.02595265  2.63761004  0.08048671  1.88793862  2.5949134 ]",25.0,0.4336197533758706
1,"[ 0.49785175 -0.02192832  3.88761004  0.08048671  2.05085261  3.9196435 ]",25.0,0.27888098573660614
2,"[ 1.32328166e-03  3.07251549e-03 -2.07845836e-02  1.15752571e-01
  1.39529095e+00 -2.54628948e-02]",-25.0,1.2307441996487647
2,"[-0.03096595  0.00886014 -1.27078458  0.11575257  1.36112721 -1.34136529]",-25.0,0.7330101698528639
2,"[-0.12575518  0.01464777 -2.52078458  0.11575257  1.2610309  -2.66393618]",25.0,0.513066495147263
2,"[-0.22054441  0.0204354  -1.27078458  0.11575257  1.15326964 -1.66365985]",-25.0,0.5676544668764599
3,"[ 7.34955404e-02  7.73279431e-03 -5.44195661e-02 -1.38761047e-03
  1.50172551e+00  1.21686299e-03]",-25.0,1.18877456836697
3,"[ 3.95245620e-02  7.66341379e-03 -1.30441957e+00 -1.38761047e-03
  1.46976550e+00 -1.28058004e+00]",25.0,0.7454435392945095
3,"[ 5.55358375e-03  7.59403326e-03 -5.44195661e-02 -1.38761047e-03
  1.43544353e+00 -9.69471241e-02]",25.0,1.2177122460943957
3,"[ 3.40826054e-02  7.52465274e-03  1.19558043e+00 -1.38761047e-03
  1.45992178e+00  1.07769530e+00]",25.0,0.7790746014713585
3,"[ 1.25111627e-01  7.45527222e-03  2.44558043e+00 -1.38761047e-03
  1.54366939e+00  2.27923925e+00]",-25.0,0.5716535096980859
3,"[ 2.16140649e-01  7.38589169e-03  1.19558043e+00 -1.38761047e-03
  1.62622643e+00  1.03110593e+00]",25.0,0.6779976223807735
3,"[ 3.07169671e-01  7.31651117e-03  2.44558043e+00 -1.38761047e-03
  1.70970463e+00  2.31205632e+00]",25.0,0.48127016045962573
3,"[ 4.60698692e-01  7.24713065e-03  3.69558043e+00 -1.38761047e-03
  1.85790632e+00  3.62023057e+00]",25.0,0.31677453826559115
3,"[ 6.76727714e-01  7.17775012e-03  4.94558043e+00 -1.38761047e-03
  2.07193559e+00  4.93887382e+00]",25.0,0.19195696917023722
4,"[ 0.00362221 -0.00810097 -0.11732205  0.06581528  1.51229436  0.01018616]",-25.0,1.2425463460047927
4,"[-0.03349389 -0.0048102  -1.36732205  0.06581528  1.48088969 -1.26737633]",25.0,0.7517826317046788
4,"[-0.07061    -0.00151944 -0.11732205  0.06581528  1.44740419 -0.07653172]",25.0,1.172731273228813
4,"[-0.0452261   0.00177132  1.13267795  0.06581528  1.47309873  1.10599191]",-25.0,0.7685778554589277
4,"[-0.0198422   0.00506209 -0.11732205  0.06581528  1.49614084 -0.18175806]",25.0,1.1955764887505564
4,"[0.0055417  0.00835285 1.13267795 0.06581528 1.51730235 1.02920413]",25.0,0.80855731951154
4,"[0.09342559 0.01164362 2.38267795 0.06581528 1.5994299  2.26179468]",-25.0,0.5889746442500364
4,"[0.18130949 0.01493438 1.13267795 0.06581528 1.68185439 1.04415873]",25.0,0.6937517634513789
4,"[0.26919339 0.01822515 2.38267795 0.06581528 1.76647981 2.3439154 ]",-25.0,0.49134183718556057
4,"[0.35707729 0.02151591 1.13267795 0.06581528 1.85580611 1.24164419]",25.0,0.5599127528709666
4,"[0.44496118 0.02480667 2.38267795 0.06581528 1.95117497 2.57287992]",25.0,0.3903152226723087
5,"[-0.05798796 -0.06053516 -0.20434962  0.07328593  1.59644366  0.1470013 ]",-25.0,1.1758190334161585
5,"[-0.09945544 -0.05687086 -1.45434962  0.07328593  1.572867   -1.09102033]",-25.0,0.7412846991385678
5,"[-0.20342292 -0.05320656 -2.70434962  0.07328593  1.48700529 -2.34867991]",25.0,0.525612551883942
5,"[-0.3073904  -0.04954227 -1.45434962  0.07328593  1.39939702 -1.16611126]",25.0,0.6030127319079763
5,"[-0.34885788 -0.04587797 -0.20434962  0.07328593  1.36963044 -0.02907674]",-25.0,0.9770567617707292
5,"[-0.39032536 -0.04221367 -1.45434962  0.07328593  1.33513231 -1.35093979]",25.0,0.5354171588000675
5,"[-0.43179284 -0.03854938 -0.20434962  0.07328593  1.29488068 -0.26538395]",-25.0,0.6371978171331403
5,"[-0.47326032 -0.03488508 -1.45434962  0.07328593  1.24826205 -1.59902772]",-25.0,0.46663232085840206
5,"[-0.57722781 -0.03122078 -2.70434962  0.07328593  1.13501191 -2.92973601]",25.0,0.3186942849636662
6,"[ 0.04989802  0.01552397  0.14070375 -0.04813829  1.56027894  0.19905995]",-25.0,1.1728106859753575
6,"[ 0.02568321  0.01311706 -1.10929625 -0.04813829  1.53885991 -1.05642074]",25.0,0.7921812412304853
6,"[ 1.46839360e-03  1.07101434e-02  1.40703748e-01 -4.81382921e-02
  1.51679305e+00  1.70701381e-01]",-25.0,1.2131254151766866
6,"[-0.02274642  0.00830323 -1.10929625 -0.04813829  1.49346824 -1.1042071 ]",25.0,0.7842768026110952
6,"[-0.04696123  0.00589631  0.14070375 -0.04813829  1.46835509  0.09613914]",-25.0,1.1888839008357923
6,"[-0.07117604  0.0034894  -1.10929625 -0.04813829  1.44083064 -1.19760297]",-25.0,0.7365836037207958
6,"[-1.57890857e-01  1.08248502e-03 -2.35929625e+00 -4.81382921e-02
  1.34838949e+00 -2.50301695e+00]",25.0,0.522133259009367
6,"[-2.44605669e-01 -1.32442959e-03 -1.10929625e+00 -4.81382921e-02
  1.25055435e+00 -1.42452982e+00]",25.0,0.5929178763008478
6,"[-0.26882048 -0.00373134  0.14070375 -0.04813829  1.20483988 -0.41167643]",-25.0,0.7055746553770955
6,"[-0.29303529 -0.00613826 -1.10929625 -0.04813829  1.15079593 -1.74873717]",-25.0,0.5236313753572474
7,"[ 0.10060523  0.03010372 -0.01858991 -0.15495654  1.5134429   0.03536333]",-25.0,1.1624263819294591
