ep,state,action,reward
0,"[-0.15308163  0.18273363  0.00414727  0.136543    1.6862324   0.06077902]",25.0,1.9273457258431346
0,"[-0.12162426  0.18956078  1.25414727  0.136543    1.75425502  2.66470737]",25.0,0.5271632960071295
0,"[-0.0276669   0.19638793  2.50414727  0.136543    1.95351818  5.31168456]",0,0.2713763006514782
1,"[ 0.03505347  0.11300761 -0.18618159  0.00195603  1.36024141  0.03068623]",-25.0,1.9331518791838156
1,"[-5.50561314e-03  1.13105407e-01 -1.43618159e+00  1.95602501e-03
  1.29553327e+00 -2.62057475e+00]",25.0,0.5319812216198591
1,"[-0.04606469  0.11320321 -0.18618159  0.00195603  1.21676651 -0.5546339 ]",0,0.714006235765944
1,"[-0.05537377  0.11330101 -0.18618159  0.00195603  1.18037188 -0.90641019]",25.0,0.6345511669779054
1,"[-0.03343285  0.11339881  1.06381841  0.00195603  1.18321777  1.01926854]",0,0.6338670522595324
1,"[0.01975807 0.11349661 1.06381841 0.00195603 1.22515158 0.66481728]",25.0,0.720523215534834
1,"[1.04198990e-01 1.13594413e-01 2.31381841e+00 1.95602501e-03
 1.30956409e+00 2.73357817e+00]",-25.0,0.4860419662663722
1,"[0.18863991 0.11369221 1.06381841 0.00195603 1.37962359 0.07566927]",25.0,1.8293459019674048
1,"[2.73080831e-01 1.13790016e-01 2.31381841e+00 1.95602501e-03
 1.44038088e+00 2.36648139e+00]",0,0.5201169462592824
1,"[3.88771752e-01 1.13887817e-01 2.31381841e+00 1.95602501e-03
 1.55617239e+00 2.28420177e+00]",-25.0,0.5391303938064937
1,"[ 0.47321267  0.11398562  1.06381841  0.00195603  1.60803995 -0.19855209]",-25.0,1.7442944240545946
1,"[ 4.95153593e-01  1.14083420e-01 -1.86181587e-01  1.95602501e-03
  1.53634567e+00 -2.67886401e+00]",0,0.4460948873398176
1,"[ 4.85844514e-01  1.14181221e-01 -1.86181587e-01  1.95602501e-03
  1.40080048e+00 -2.76498896e+00]",25.0,0.38460202952489164
1,"[ 0.50778543  0.11427902  1.06381841  0.00195603  1.31892561 -0.53243692]",0,0.5412367344751892
1,"[ 0.56097636  0.11437682  1.06381841  0.00195603  1.28603439 -0.78819532]",-25.0,0.4745834747590794
1,"[ 5.82917276e-01  1.14474625e-01 -1.86181587e-01  1.95602501e-03
  1.17985226e+00 -3.45857620e+00]",25.0,0.24335700354713233
2,"[-0.02533416  0.00792284  0.03685656  0.03513265  1.64917255 -0.0453876 ]",0,2.075687274502405
2,"[-0.02349133  0.00967947  0.03685656  0.03513265  1.64881522  0.03096931]",-25.0,2.080849561881471
2,"[-0.0528985   0.0114361  -1.21314344  0.03513265  1.58979065 -2.40068686]",25.0,0.6969389096697066
2,"[-0.08230567  0.01319274  0.03685656  0.03513265  1.53217335  0.08411046]",-25.0,2.0595220768875975
2,"[-0.11171284  0.01494937 -1.21314344  0.03513265  1.47288031 -2.4616525 ]",0,0.604878154810962
2,"[-0.17237002  0.016706   -1.21314344  0.03513265  1.3467064  -2.60561078]",0,0.4896946167570781
2,"[-0.23302719  0.01846263 -1.21314344  0.03513265  1.21026142 -2.87338602]",25.0,0.38083026723316105
3,"[-0.00980504  0.01918743 -0.01914227  0.05663456  1.47562742 -0.08023292]",25.0,2.063747825840644
3,"[0.02048785 0.02201916 1.23085773 0.05663456 1.53166738 2.33045392]",25.0,0.7116413094710067
3,"[0.11328073 0.02485088 2.48085773 0.05663456 1.71049316 4.84591452]",-25.0,0.35918266374182545
3,"[0.20607362 0.02768261 1.23085773 0.05663456 1.89636104 2.63856418]",25.0,0.4241850325335368
4,"[ 0.04048132 -0.04522464 -0.03959268  0.01388547  1.45688567  0.0686721 ]",-25.0,2.0194345588680234
4,"[ 0.00725169 -0.04453037 -1.28959268  0.01388547  1.39537945 -2.53298124]",-25.0,0.6007428486182538
4,"[-0.08847795 -0.04383609 -2.53959268  0.01388547  1.20277814 -5.17764431]",25.0,0.26919756936865497
5,"[ 0.13368134  0.1638426  -0.14117196  0.09171911  1.60652319 -0.08822283]",-25.0,2.016812342871921
5,"[ 0.09537274  0.16842856 -1.39117196  0.09171911  1.54033904 -2.56791474]",-25.0,0.6429494922181161
5,"[-0.00543585  0.17301452 -2.64117196  0.09171911  1.34808867 -5.14099653]",-25.0,0.3398233712904254
6,"[ 0.15913442  0.18609248  0.21677299  0.18294815  1.5221605  -0.10353302]",-25.0,1.9792958287593252
6,"[ 0.13872307  0.19523989 -1.03322701  0.18294815  1.45323246 -2.66026722]",-25.0,0.5568855824610216
6,"[ 0.05581171  0.20438729 -2.28322701  0.18294815  1.25493128 -5.28346506]",0,0.2866758109116713
7,"[ 0.02810018  0.11334876  0.00766833 -0.20984049  1.54374618 -0.07627834]",0,2.123527021751987
7,"[ 0.02848359  0.10285673  0.00766833 -0.20984049  1.53924576 -0.10445229]",0,2.1118043473092447
7,"[ 0.02886701  0.09236471  0.00766833 -0.20984049  1.53321809 -0.13761447]",0,2.0974085916727305
7,"[ 0.02925042  0.08187268  0.00766833 -0.20984049  1.52537486 -0.17736682]",0,2.079778585345313
7,"[ 0.02963384  0.07138066  0.00766833 -0.20984049  1.51534015 -0.225625  ]",0,2.0582563551054847
7,"[ 0.03001726  0.06088864  0.00766833 -0.20984049  1.50263257 -0.28470898]",-25.0,2.03208528091266
7,"[-8.49325823e-04  5.03966114e-02 -1.24233167e+00 -2.09840490e-01
  1.42421953e+00 -2.85888222e+00]",-25.0,0.5830819793473374
7,"[-0.09421591  0.03990459 -2.49233167 -0.20984049  1.21561964 -5.49435148]",-25.0,0.25500821177011823
8,"[-0.06008751 -0.08177936  0.04177493  0.0806284   1.73515776  0.11091336]",-25.0,1.9438100956558246
8,"[-0.08924877 -0.07774794 -1.20822507  0.0806284   1.6828801  -2.21145483]",25.0,0.638693666073201
8,"[-0.11841002 -0.07371652  0.04177493  0.0806284   1.6368368   0.36169519]",0,1.9456826195278212
8,"[-0.11632128 -0.0696851   0.04177493  0.0806284   1.6566459   0.43384856]",0,1.9151157093392635
8,"[-0.11423253 -0.06565368  0.04177493  0.0806284   1.68056827  0.52687385]",0,0.8780441856320311
8,"[-0.11214378 -0.06162226  0.04177493  0.0806284   1.70975276  0.6451568 ]",25.0,0.833560481534972
8,"[-0.07880504 -0.05759084  1.29177493  0.0806284   1.80742492  3.26761888]",-25.0,0.4580493548098474
8,"[-0.04546629 -0.05355942  0.04177493  0.0806284   1.91730501  1.16016531]",-25.0,0.6380859278218837
8,"[-0.07462754 -0.049528   -1.20822507  0.0806284   1.92528527 -0.83665487]",-25.0,0.6585507359966108
8,"[-0.1662888  -0.04549658 -2.45822507  0.0806284   1.83256585 -2.89652123]",-25.0,0.4461976221082587
8,"[-0.32045005 -0.04146516 -3.70822507  0.0806284   1.63202728 -5.16894056]",-25.0,0.30616490843729016
8,"[-0.5371113  -0.03743374 -4.95822507  0.0806284   1.3111607  -7.70243312]",-25.0,0.12479646029785257
9,"[-0.11028737 -0.03512087  0.00412403 -0.09849526  1.45834684 -0.1772083 ]",25.0,1.942183555502008
9,"[-0.07883117 -0.04004563  1.25412403 -0.09849526  1.50897445  2.21031784]",-25.0,0.6784152945230043
9,"[-0.04737497 -0.04497039  0.00412403 -0.09849526  1.55600103 -0.3200927 ]",0,2.065990464296782
9,"[-0.04716877 -0.04989516  0.00412403 -0.09849526  1.53954213 -0.34094655]",-25.0,2.0443060802662076
9,"[-0.07821257 -0.05481992 -1.24587597 -0.09849526  1.45905892 -2.88695485]",25.0,0.5633789561390719
9,"[-0.10925637 -0.05974468  0.00412403 -0.09849526  1.37308578 -0.5736057 ]",-25.0,0.7972871201842329
9,"[-0.14030017 -0.06466945 -1.24587597 -0.09849526  1.27827247 -3.22216123]",-25.0,0.41351107799565423
10,"[-0.06922294 -0.09806145 -0.06825983  0.06982948  1.55410996  0.02979856]",-25.0,2.107108651747088
10,"[-0.10388593 -0.09456998 -1.31825983  0.06982948  1.49257579 -2.49784454]",0,0.6167763539535249
10,"[-0.16979892 -0.09107851 -1.31825983  0.06982948  1.36506211 -2.62330268]",-25.0,0.4985796399835412
10,"[-0.26696191 -0.08758703 -2.56825983  0.06982948  1.16768333 -5.27575791]",-25.0,0.21841040048069885
11,"[-0.00902298  0.13449608  0.03133828  0.00221926  1.65424769 -0.1297751 ]",25.0,2.0666486520160294
11,"[2.37939366e-02 1.34607043e-01 1.28133828e+00 2.21925875e-03
 1.71215039e+00 2.45039820e+00]",-25.0,0.6240872942081397
11,"[0.05661085 0.13471801 0.03133828 0.00221926 1.77711185 0.16539012]",-25.0,1.8960893330771997
11,"[ 0.02692776  0.13482897 -1.21866172  0.00221926  1.72906603 -2.0965805 ]",-25.0,0.6564752506081118
11,"[-6.52553219e-02  1.34939932e-01 -2.46866172e+00  2.21925875e-03
  1.56531674e+00 -4.48329469e+00]",-25.0,0.46098893724911255
11,"[-2.19938408e-01  1.35050895e-01 -3.71866172e+00  2.21925875e-03
  1.27747739e+00 -7.05672883e+00]",-25.0,0.17938707795977893
12,"[ 0.10745756  0.07215554  0.09907892  0.11830977  1.57341057 -0.05391321]",25.0,2.08209820668307
12,"[0.1436615  0.07807102 1.34907892 0.11830977 1.63340419 2.46049906]",-25.0,0.6105380453193493
12,"[0.17986545 0.08398651 0.09907892 0.11830977 1.69630117 0.07029353]",-25.0,1.8955255079059246
12,"[ 0.15356939  0.089902   -1.15092108  0.11830977  1.64069603 -2.30374456]",-25.0,0.6201203008826816
12,"[ 0.06477334  0.09581749 -2.40092108  0.11830977  1.46397981 -4.79034148]",-25.0,0.3913525666367121
12,"[-0.08652271  0.10173298 -3.65092108  0.11830977  1.15921492 -7.4136065 ]",-25.0,0.16435570861814383
13,"[ 0.0284238   0.06398092  0.06214181 -0.05399851  1.59923839  0.0256517 ]",0,2.1330647640704523
13,"[ 0.03153089  0.06128099  0.06214181 -0.05399851  1.60122736  0.05420876]",0,2.121440280243939
13,"[ 0.03463798  0.05858107  0.06214181 -0.05399851  1.60470114  0.08528522]",-25.0,2.1077143164266507
13,"[ 0.00649507  0.05588114 -1.18785819 -0.05399851  1.54719738 -2.39283373]",-25.0,0.722290265200174
13,"[-0.08414784  0.05318122 -2.43785819 -0.05399851  1.3638652  -4.95928004]",-25.0,0.3354617514566639
14,"[ 0.06241378  0.00903475 -0.14917756 -0.04046598  1.71482137  0.03736198]",-25.0,1.9763359373496197
14,"[ 0.02370491  0.00701145 -1.39917756 -0.04046598  1.6581543  -2.31392711]",-25.0,0.6780360199738679
14,"[-0.07750397  0.00498816 -2.64917756 -0.04046598  1.48138778 -4.78348319]",-25.0,0.3947026065985008
14,"[-2.41212850e-01  2.96485624e-03 -3.89917756e+00 -4.04659824e-02
  1.17718098e+00 -7.40050173e+00]",-25.0,0.1474882096780657
15,"[ 0.06185706  0.13627072 -0.1308592   0.05048768  1.52748253 -0.02624365]",0,2.085253705591966
15,"[ 0.0553141   0.13879511 -0.1308592   0.05048768  1.52509842 -0.06947383]",-25.0,2.0792232570444256
15,"[ 0.01752114  0.14131949 -1.3808592   0.05048768  1.45794179 -2.62335358]",-25.0,0.6241209690069209
15,"[-0.08277182  0.14384387 -2.6308592   0.05048768  1.26155293 -5.24424578]",-25.0,0.2844958762822533
16,"[-0.08319465  0.05264572 -0.15806588 -0.19090155  1.63093748 -0.07889306]",0,2.0369987856544034
16,"[-0.09109794  0.04310064 -0.15806588 -0.19090155  1.6284482  -0.02113677]",-25.0,2.0447383570364046
16,"[-0.13025124  0.03355557 -1.40806588 -0.19090155  1.56622698 -2.47646024]",-25.0,0.6526150951096091
16,"[-0.23190453  0.02401049 -2.65806588 -0.19090155  1.37908652 -5.02981412]",-25.0,0.29665846168540155
17,"[ 0.02755555 -0.11705434 -0.11327264 -0.17002289  1.39326942  0.07060943]",0,1.964381675031126
17,"[ 0.02189192 -0.12555548 -0.11327264 -0.17002289  1.39247819 -0.10223565]",25.0,1.9620508030264672
17,"[ 0.04747828 -0.13405662  1.13672736 -0.17002289  1.444712    2.20130949]",-25.0,0.6533282255740684
17,"[ 0.07306465 -0.14255777 -0.11327264 -0.17002289  1.48998534 -0.38272381]",-25.0,1.9637113317107682
17,"[ 0.03615102 -0.15105891 -1.36327264 -0.17002289  1.40641654 -2.96715057]",-25.0,0.5438659414355319
17,"[-0.06326261 -0.15956006 -2.61327264 -0.17002289  1.19221207 -5.60860657]",-25.0,0.24935016286761286
18,"[-0.00751795  0.01600748  0.00422729  0.09276608  1.63702396 -0.04766547]",-25.0,2.104889126443397
18,"[-0.03855658  0.02064578 -1.24577271  0.09276608  1.57370568 -2.49422115]",-25.0,0.7035416746715205
18,"[-0.13209522  0.02528409 -2.49577271  0.09276608  1.38583236 -5.04203639]",-25.0,0.32429147888218623
19,"[ 0.00878761 -0.11535722  0.085756    0.05580834  1.55039465 -0.09263058]",-25.0,2.1456994112554875
19,"[-0.01817459 -0.1125668  -1.164244    0.05580834  1.4826245  -2.6255529 ]",-25.0,0.639484413920074
19,"[-0.10763679 -0.10977638 -2.414244    0.05580834  1.28648535 -5.2341929 ]",-25.0,0.28675156845349314
20,"[0.07619419 0.11604477 0.06583412 0.0891206  1.56181328 0.02040532]",0,2.111274497917055
20,"[0.07948589 0.1205008  0.06583412 0.0891206  1.56261847 0.01194223]",0,2.11098070376124
20,"[0.0827776  0.12495683 0.06583412 0.0891206  1.56301792 0.00410799]",-25.0,2.110094879055818
20,"[ 0.0548193   0.12941286 -1.18416588  0.0891206   1.50039901 -2.51592582]",-25.0,0.6455244703344053
20,"[-0.03563899  0.13386889 -2.43416588  0.0891206   1.31003858 -5.11392463]",-25.0,0.31997925787217824
21,"[-3.64415097e-02  1.26272429e-01 -1.21357405e-03  5.70391682e-02
  1.51797032e+00 -1.92169850e-02]",0,2.099524218348755
21,"[-3.65021884e-02  1.29124388e-01 -1.21357405e-03  5.70391682e-02
  1.51570595e+00 -7.16828394e-02]",0,2.0854978370258195
21,"[-3.65628671e-02  1.31976346e-01 -1.21357405e-03  5.70391682e-02
  1.51074791e+00 -1.27403117e-01]",0,2.0680285581067257
21,"[-3.66235458e-02  1.34828305e-01 -1.21357405e-03  5.70391682e-02
  1.50286645e+00 -1.89092776e-01]",0,2.0464654067631045
21,"[-3.66842245e-02  1.37680263e-01 -1.21357405e-03  5.70391682e-02
  1.49168978e+00 -2.59742135e-01]",0,2.0200538282009077
21,"[-3.67449032e-02  1.40532221e-01 -1.21357405e-03  5.70391682e-02
  1.47668681e+00 -3.42758121e-01]",0,1.9879466564639547
21,"[-3.68055819e-02  1.43384180e-01 -1.21357405e-03  5.70391682e-02
  1.45714244e+00 -4.42121488e-01]",0,1.9492316473784363
21,"[-3.68662606e-02  1.46236138e-01 -1.21357405e-03  5.70391682e-02
  1.43212454e+00 -5.62564091e-01]",0,0.9029846413295343
21,"[-3.69269393e-02  1.49088097e-01 -1.21357405e-03  5.70391682e-02
  1.40044151e+00 -7.09768025e-01]",0,0.8483596337470017
21,"[-3.69876180e-02  1.51940055e-01 -1.21357405e-03  5.70391682e-02
  1.36058938e+00 -8.90583366e-01]",-25.0,0.7847279612972788
21,"[-0.0682983   0.15479201 -1.25121357  0.05703917  1.24979644 -3.54427601]",-25.0,0.3994836528848551
22,"[ 0.06231462 -0.11886673 -0.03442026  0.16039968  1.53993059 -0.21317175]",0,2.0582409033779516
22,"[ 0.06059361 -0.11084675 -0.03442026  0.16039968  1.52845304 -0.24778304]",0,2.0403384873470083
22,"[ 0.0588726  -0.10282677 -0.03442026  0.16039968  1.51495322 -0.29438297]",0,2.018166380958869
22,"[ 0.05715158 -0.09480678 -0.03442026  0.16039968  1.49877884 -0.35518896]",0,1.990893409993073
22,"[ 0.05543057 -0.0867868  -0.03442026  0.16039968  1.47915037 -0.43309381]",0,1.9576075397978978
22,"[ 0.05370956 -0.07876682 -0.03442026  0.16039968  1.45512411 -0.53179372]",0,0.9173514338025931
22,"[ 0.05198854 -0.07074683 -0.03442026  0.16039968  1.42554828 -0.65594532]",0,0.8691887559604728
22,"[ 0.05026753 -0.06272685 -0.03442026  0.16039968  1.38901046 -0.81135002]",0,0.8123133209682526
22,"[ 0.04854652 -0.05470686 -0.03442026  0.16039968  1.34377533 -1.00515743]",0,0.7462130371024819
