ep,state,action,reward
0,"[ 0.11261448  0.16164369  0.02540955 -0.12408326  1.58969699 -0.21016334]",25.0,1.1240544967053618
0,"[ 0.14513496  0.15543953  1.27540955 -0.12408326  1.61065856  1.04915096]",25.0,0.7184339273315621
0,"[ 0.24015544  0.14923536  2.52540955 -0.12408326  1.6948834   2.324203  ]",-25.0,0.5098905169485077
0,"[ 0.33517591  0.1430312   1.27540955 -0.12408326  1.78192689  1.16859511]",0,0.5852571912854777
0,"[ 0.39894639  0.13682704  1.27540955 -0.12408326  1.84301361  1.2796379 ]",-25.0,0.5361766888395985
0,"[ 0.43146687  0.13062288  0.02540955 -0.12408326  1.88042391  0.22287043]",-25.0,0.6395861354310829
0,"[ 0.40148735  0.12441871 -1.22459045 -0.12408326  1.86554236 -0.81932343]",25.0,0.5845921877560931
0,"[ 0.37150782  0.11821455  0.02540955 -0.12408326  1.85806355  0.51891529]",-25.0,0.6384693410970929
0,"[ 0.3415283   0.11201039 -1.22459045 -0.12408326  1.85758114 -0.53736637]",0,0.6534390329330363
0,"[ 0.28029878  0.10580622 -1.22459045 -0.12408326  1.83414435 -0.40206741]",25.0,0.711141049523981
0,"[ 0.25031926  0.09960206  0.02540955 -0.12408326  1.84739537  0.93130295]",-25.0,0.6554634267991147
0,"[ 0.22033973  0.0933979  -1.22459045 -0.12408326  1.86740238 -0.12735166]",0,0.7877465438690104
0,"[ 0.15911021  0.08719373 -1.22459045 -0.12408326  1.86461093  0.01535436]",0,0.8493057078938987
0,"[ 0.09788069  0.08098957 -1.22459045 -0.12408326  1.86893205  0.15770871]",-25.0,0.8684432533299549
0,"[ 0.00540117  0.07478541 -2.47459045 -0.12408326  1.8505358  -0.89519244]",-25.0,0.8103455365277469
0,"[-0.14957836  0.06858125 -3.72459045 -0.12408326  1.7788962  -1.97877623]",25.0,0.585010275132412
0,"[-0.30455788  0.06237708 -2.47459045 -0.12408326  1.71308737 -0.65759561]",25.0,0.6713453686961345
0,"[-0.3970374   0.05617292 -1.22459045 -0.12408326  1.71286465  0.64758037]",25.0,0.6194115773882424
0,"[-0.42701692  0.04996876  0.02540955 -0.12408326  1.77789777  1.9555337 ]",25.0,0.4606697101503757
0,"[-0.39449645  0.04376459  1.27540955 -0.12408326  1.90865419  3.27658292]",-25.0,0.35745774303052646
0,"[-0.36197597  0.03756043  0.02540955 -0.12408326  2.04784703  2.31398502]",0,0.4351285651230307
1,"[ 0.01459886 -0.07344222 -0.12712395 -0.17158937  1.58670241  0.05464976]",25.0,1.2272578896129567
1,"[ 0.03949266 -0.08202169  1.12287605 -0.17158937  1.62088762  1.31425914]",-25.0,0.7432540458108794
1,"[ 0.06438646 -0.09060115 -0.12712395 -0.17158937  1.65612905  0.09980924]",-25.0,1.176231101543627
1,"[ 0.02678027 -0.09918062 -1.37712395 -0.17158937  1.63101686 -1.10570707]",0,0.7824373445583644
1,"[-0.04207593 -0.10776009 -1.37712395 -0.17158937  1.57638261 -1.08415371]",25.0,0.7781337877729887
1,"[-0.07968213 -0.11633956 -0.12712395 -0.17158937  1.55341684  0.16255845]",-25.0,1.1569258063329908
1,"[-0.11728833 -0.12491903 -1.37712395 -0.17158937  1.53008949 -1.09635881]",0,0.7285004050390967
1,"[-0.18614452 -0.1334985  -1.37712395 -0.17158937  1.47468598 -1.12428547]",-25.0,0.6807941625852346
1,"[-0.28625072 -0.14207797 -2.62712395 -0.17158937  1.38617639 -2.41960064]",25.0,0.47740019777646825
1,"[-0.38635692 -0.15065743 -1.37712395 -0.17158937  1.29326048 -1.30985438]",-25.0,0.5386059688167273
1,"[-0.48646312 -0.1592369  -2.62712395 -0.17158937  1.1945041  -2.64032954]",25.0,0.3710465740471838
1,"[-0.58656932 -0.16781637 -1.37712395 -0.17158937  1.08639366 -1.70240283]",0,0.4000729543975199
2,"[-0.01009335 -0.00525931  0.08718287  0.08874827  1.61019765  0.07770269]",-25.0,1.2252731520860216
2,"[-3.69842101e-02 -8.21895191e-04 -1.16281713e+00  8.87482717e-02
  1.58333083e+00 -1.15367944e+00]",0,0.7704349299251474
2,"[-0.09512507  0.00361552 -1.16281713  0.08874827  1.5257094  -1.15589492]",25.0,0.7331151401929085
2,"[-0.12201592  0.00805293  0.08718287  0.08874827  1.49847558  0.06294558]",-25.0,1.1404175346159326
2,"[-0.14890678  0.01249035 -1.16281713  0.08874827  1.46957227 -1.2198338 ]",0,0.6890960078757972
2,"[-0.20704764  0.01692776 -1.16281713  0.08874827  1.40724623 -1.27821862]",0,0.6441648374078377
2,"[-0.26518849  0.02136517 -1.16281713  0.08874827  1.34124115 -1.36721152]",-25.0,0.596872628133817
2,"[-0.35457935  0.02580259 -2.41281713  0.08874827  1.23977018 -2.69264408]",-25.0,0.4168459957163995
2,"[-0.50647021  0.03024    -3.66281713  0.08874827  1.07198308 -4.01619949]",-25.0,0.2703741396270271
3,"[-0.10906729 -0.25592911  0.12063813  0.16692278  1.57696624 -0.06677323]",0,1.152492898713162
3,"[-0.10303538 -0.24758297  0.12063813  0.16692278  1.57369799 -0.06422683]",25.0,1.157555443404024
3,"[-0.06575348 -0.23923683  1.37063813  0.16692278  1.60177746  1.18854847]",0,0.7467725441824673
3,"[ 0.00277843 -0.2308907   1.37063813  0.16692278  1.66167859  1.21237381]",25.0,0.7790880082056991
3,"[ 0.10256034 -0.22254456  2.62063813  0.16692278  1.75454909  2.50623738]",-25.0,0.5492365400170243
3,"[ 0.20234224 -0.21419842  1.37063813  0.16692278  1.85179751  1.39709365]",25.0,0.6220750519132136
3,"[ 0.30212415 -0.20585228  2.62063813  0.16692278  1.95491524  2.72746035]",0,0.4298564375034059
4,"[ 0.0049073  -0.112906   -0.14101931  0.02494986  1.61886535 -0.13149962]",-25.0,1.2183862745834637
4,"[-0.03339367 -0.11165851 -1.39101931  0.02494986  1.58163466 -1.35996597]",0,0.7414894897465758
4,"[-0.10294463 -0.11041101 -1.39101931  0.02494986  1.51366179 -1.36451047]",25.0,0.6980885366391081
4,"[-0.1412456  -0.10916352 -0.14101931  0.02494986  1.4758     -0.1546845 ]",25.0,1.108689089933848
4,"[-0.11704656 -0.10791603  1.10898069  0.02494986  1.49801721  1.04455679]",-25.0,0.734723746525314
4,"[-0.09284753 -0.10666853 -0.14101931  0.02494986  1.518233   -0.23346036]",25.0,1.1329189321840563
4,"[-0.06864849 -0.10542104  1.10898069  0.02494986  1.53711703  0.98950098]",25.0,0.7751534378065527
4,"[ 0.01805054 -0.10417355  2.35898069  0.02494986  1.61751249  2.23174242]",-25.0,0.6296080274139825
4,"[ 0.10474958 -0.10292606  1.10898069  0.02494986  1.69869144  1.02454881]",0,0.7417729920809106
4,"[ 0.16019861 -0.10167856  1.10898069  0.02494986  1.75156242  1.09451044]",25.0,0.6942169925605636
4,"[ 0.24689764 -0.10043107  2.35898069  0.02494986  1.83917993  2.41200748]",0,0.4894912641582918
4,"[ 0.36484668 -0.09918358  2.35898069  0.02494986  1.96320177  2.55834563]",25.0,0.41991279900574746
5,"[ 0.11731504 -0.03641821  0.07294975  0.00872912  1.34146123  0.00269284]",0,1.1400294978348002
5,"[ 0.12096252 -0.03598176  0.07294975  0.00872912  1.33880752 -0.10895822]",0,1.1183531136816312
5,"[ 0.12461001 -0.0355453   0.07294975  0.00872912  1.33053137 -0.22265085]",0,1.0953047350917577
5,"[ 0.1282575  -0.03510884  0.07294975  0.00872912  1.31646365 -0.34107539]",0,0.8214120490717184
5,"[ 0.13190499 -0.03467239  0.07294975  0.00872912  1.29629903 -0.46699737]",25.0,0.7962501198503457
5,"[ 0.16680247 -0.03423593  1.32294975  0.00872912  1.29965143  0.60062654]",0,0.7530776376331797
5,"[ 0.23294996 -0.03379948  1.32294975  0.00872912  1.32644067  0.47317259]",0,0.9826041926129148
5,"[ 0.29909745 -0.03336302  1.32294975  0.00872912  1.34716634  0.3576034 ]",25.0,0.9595376487469619
5,"[ 0.39649494 -0.03292656  2.57294975  0.00872912  1.39290493  1.47656244]",-25.0,0.522988524880934
5,"[ 0.49389242 -0.03249011  1.32294975  0.00872912  1.4338112   0.16275919]",25.0,0.8753008613343258
5,"[ 0.59128991 -0.03205365  2.57294975  0.00872912  1.47128556  1.33918713]",-25.0,0.4533767603869413
5,"[ 0.6886874  -0.03161719  1.32294975  0.00872912  1.5059791   0.05187495]",-25.0,0.7872161188874178
5,"[ 0.72358489 -0.03118074  0.07294975  0.00872912  1.4765965  -1.2280135 ]",-25.0,0.410111612328876
5,"[ 0.69598237 -0.03074428 -1.17705025  0.00872912  1.38291571 -2.52297486]",0,0.32170094025613655
5,"[ 0.63712986 -0.03030783 -1.17705025  0.00872912  1.2542888  -2.63220502]",25.0,0.3266069420552878
5,"[ 0.60952735 -0.02987137  0.07294975  0.00872912  1.14797155 -1.63751525]",0,0.4014877797870274
5,"[ 0.61317483 -0.02943491  0.07294975  0.00872912  1.060966   -1.84889132]",-25.0,0.37711339307685315
6,"[ 0.05840366  0.06184802  0.13754415  0.23728787  1.56715472 -0.02686224]",0,1.1986734884444834
6,"[ 0.06528087  0.07371241  0.13754415  0.23728787  1.56576481 -0.02884627]",0,1.1929420217515134
6,"[ 0.07215808  0.0855768   0.13754415  0.23728787  1.5642585  -0.03152751]",25.0,1.1870950271596201
6,"[0.11028528 0.0974412  1.38754415 0.23728787 1.59386042 1.21692353]",0,0.7159228996535092
6,"[0.17966249 0.10930559 1.38754415 0.23728787 1.65508553 1.23707158]",25.0,0.6699494428129441
6,"[0.2802897  0.12116998 2.63754415 0.23728787 1.74913422 2.52885334]",-25.0,0.4698782302848895
6,"[0.3809169  0.13303438 1.38754415 0.23728787 1.8474163  1.41586987]",-25.0,0.5299612044463362
6,"[0.41904411 0.14489877 0.13754415 0.23728787 1.89176022 0.36500161]",0,0.6275833742168865
6,"[0.42592132 0.15676316 0.13754415 0.23728787 1.91390488 0.52236681]",-25.0,0.6022168487098588
6,"[ 0.40154853  0.16862756 -1.11245585  0.23728787  1.91479617 -0.48570942]",-25.0,0.6200710480585935
6,"[ 0.31467573  0.18049195 -2.36245585  0.23728787  1.86506168 -1.50992129]",-25.0,0.5503038152113687
6,"[ 0.16530294  0.19235634 -3.61245585  0.23728787  1.76285209 -2.590807  ]",0,0.5117616213973478
6,"[-0.01531985  0.20422074 -3.61245585  0.23728787  1.63545517 -2.51547678]",25.0,0.5955039908452232
6,"[-0.16469264  0.21608513 -2.36245585  0.23728787  1.54151374 -1.2505958 ]",-25.0,0.6790875982478644
6,"[-0.31406544  0.22794952 -3.61245585  0.23728787  1.44731827 -2.52234117]",25.0,0.4593397827709479
6,"[-0.46343823  0.23981392 -2.36245585  0.23728787  1.35034513 -1.36887137]",25.0,0.5003053868190942
6,"[-0.55031102  0.25167831 -1.11245585  0.23728787  1.30949042 -0.27155256]",-25.0,0.5722006110191988
6,"[-0.63718381  0.26354271 -2.36245585  0.23728787  1.26261042 -1.60347076]",25.0,0.40171687063045136
6,"[-0.72405661  0.2754071  -1.11245585  0.23728787  1.2081694  -0.58302003]",-25.0,0.45042356606787753
6,"[-0.8109294   0.28727149 -2.36245585  0.23728787  1.14558025 -1.91915286]",25.0,0.314499820463054
6,"[-0.89780219  0.29913589 -1.11245585  0.23728787  1.07254413 -1.0152581 ]",0,0.3427576344383393
7,"[-0.06771032  0.08477634  0.09346069 -0.00675856  1.5360295  -0.06532504]",25.0,1.1831938447935428
7,"[-0.03178728  0.08443841  1.34346069 -0.00675856  1.56357801  1.16859863]",-25.0,0.7714942368450106
7,"[ 0.00413575  0.08410048  0.09346069 -0.00675856  1.59075293 -0.07828447]",0,1.2307136394173535
