ep,state,action,reward
0,"[ 0.11442684  0.02688718  0.02466714 -0.12012277  1.47240295  0.14021923]",0,1.1305319593592607
0,"[ 0.11566019  0.02088105  0.02466714 -0.12012277  1.47821981  0.09296972]",-25.0,1.1384088661792768
0,"[ 0.08564355  0.01487491 -1.22533286 -0.12012277  1.45062596 -1.19727494]",0,0.7285775455239167
0,"[ 0.02437691  0.00886877 -1.22533286 -0.12012277  1.38919921 -1.26471218]",0,0.7508591931354276
0,"[-0.03688974  0.00286263 -1.22533286 -0.12012277  1.32365326 -1.36228871]",0,0.7228851508576252
0,"[-0.09815638 -0.00314351 -1.22533286 -0.12012277  1.25244002 -1.49173199]",0,0.6628498935614159
0,"[-0.15942302 -0.00914965 -1.22533286 -0.12012277  1.17391339 -1.65521872]",25.0,0.6013983963136191
0,"[-0.18943966 -0.01515578  0.02466714 -0.12012277  1.11483996 -0.71806295]",25.0,0.6993637382574769
0,"[-0.15695631 -0.02116192  1.27466714 -0.12012277  1.10144325  0.17917378]",-25.0,0.7987267474317191
0,"[-0.12447295 -0.02716806  0.02466714 -0.12012277  1.07702733 -1.15411315]",-25.0,0.6722028722458053
1,"[-0.08846266 -0.15592414 -0.05705793  0.00845776  1.6445705   0.01111875]",0,1.1750951552989988
1,"[-0.09131555 -0.15550125 -0.05705793  0.00845776  1.64603148  0.04740928]",0,1.1661383131091823
1,"[-0.09416845 -0.15507837 -0.05705793  0.00845776  1.64932771  0.08467764]",25.0,1.1569622001000957
1,"[-0.06577135 -0.15465548  1.19294207  0.00845776  1.68567753  1.37046429]",-25.0,0.7157459444194794
1,"[-0.03737424 -0.15423259 -0.05705793  0.00845776  1.72472957  0.19688471]",0,1.1727368480978
1,"[-0.04022714 -0.1538097  -0.05705793  0.00845776  1.7364697   0.27360548]",0,1.1554234075052587
1,"[-0.04308004 -0.15338681 -0.05705793  0.00845776  1.75219381  0.35655743]",0,1.1368747138454873
1,"[-0.04593293 -0.15296393 -0.05705793  0.00845776  1.77226159  0.44769053]",25.0,1.1167516113725564
1,"[-0.01753583 -0.15254104  1.19294207  0.00845776  1.82767665  1.76959707]",0,0.6759351554941554
1,"[ 0.04211127 -0.15211815  1.19294207  0.00845776  1.91939881  1.90634286]",25.0,0.6357739643691495
1,"[ 0.13300838 -0.15169526  2.44294207  0.00845776  2.04797711  3.23456237]",25.0,0.4416943245016175
2,"[ 0.13743434 -0.04597094  0.10481474 -0.16251104  1.59625553 -0.10797329]",0,1.1234955665554633
2,"[ 0.14267508 -0.05409649  0.10481474 -0.16251104  1.59116061 -0.0962506 ]",25.0,1.1218680482432966
2,"[ 0.17916581 -0.06222205  1.35481474 -0.16251104  1.61784233  1.1644526 ]",0,0.6817889554626541
2,"[ 0.24690655 -0.0703476   1.35481474 -0.16251104  1.67673348  1.19597635]",0,0.6362808717937417
2,"[ 0.31464729 -0.07847315  1.35481474 -0.16251104  1.73792217  1.25648521]",25.0,0.5887038012249955
2,"[ 0.41363802 -0.0865987   2.60481474 -0.16251104  1.8335532   2.57104641]",-25.0,0.40922770553871324
2,"[ 0.51262876 -0.09472425  1.35481474 -0.16251104  1.93563023  1.52748891]",-25.0,0.4534460135406726
2,"[ 0.5491195  -0.10284981  0.10481474 -0.16251104  1.98752653  0.55728112]",25.0,0.5275295857233842
2,"[ 0.58561023 -0.11097536  1.35481474 -0.16251104  2.04877661  1.89060647]",0,0.3861285582481183
3,"[-0.07583844 -0.03614996 -0.00474693 -0.08435712  1.4902262  -0.20763566]",0,1.1483064497592557
3,"[-0.07607578 -0.04036782 -0.00474693 -0.08435712  1.47884086 -0.24867264]",0,1.1399840128422594
3,"[-0.07631313 -0.04458567 -0.00474693 -0.08435712  1.46526136 -0.29557462]",0,1.1304839875259751
3,"[-0.07655048 -0.04880353 -0.00474693 -0.08435712  1.44916742 -0.34944727]",0,1.1195976381193
3,"[-0.07678782 -0.05302138 -0.00474693 -0.08435712  1.43017965 -0.41155305]",25.0,1.1070926935926577
3,"[-0.04577517 -0.05723924  1.24525307 -0.08435712  1.43879446  0.75609335]",25.0,0.8213285617895737
3,"[ 0.04773748 -0.0614571   2.49525307 -0.08435712  1.50609688  1.94186392]",25.0,0.6505770791584689
3,"[ 0.20375014 -0.06567495  3.74525307 -0.08435712  1.63378875  3.17524357]",25.0,0.44607732645933534
3,"[ 0.42226279 -0.06989281  4.99525307 -0.08435712  1.8245759   4.46428836]",-25.0,0.2784058283362626
3,"[ 0.64077545 -0.07411066  3.74525307 -0.08435712  2.02157891  3.44606657]",-25.0,0.27021351871441585
4,"[-0.02218357 -0.03300745 -0.14530226 -0.19698405  1.40345271 -0.00190245]",0,1.2198840391217023
4,"[-0.02944868 -0.04285665 -0.14530226 -0.19698405  1.40131424 -0.08373992]",25.0,1.1983237622359626
4,"[-0.0054638  -0.05270585  1.10469774 -0.19698405  1.425882    1.0682592 ]",-25.0,0.796136801814547
4,"[ 0.01852109 -0.06255506 -0.14530226 -0.19698405  1.44662109 -0.23649806]",-25.0,1.1823354642598913
